rank_this_week,name,avg_drive_distance
1,Brandon Matthews,323.3
2,Mito Pereira,322.6
3,Kurt Kitayama,320.3
4,Cam Davis,315.2
5,Vince Whaley,314.7
6,Thomas Detry,314.6
7,Kyle Westmoreland,314.4
8,Taylor Pendrith,314.3
9,Wyndham Clark,313.4
10,Trevor Cone,313.0
11,Jon Rahm,312.6
12,Cameron Champ,312.3
T13,Joseph Bramlett,312.2
T13,Gary Woodland,312.2
T15,Trey Mullinax,311.0
T15,Davis Thompson,311.0
T17,Byeong Hun An,310.9
T17,Cameron Young,310.9
19,Matti Schmid,310.2
T20,Keith Mitchell,309.9
T20,Kevin Yu,309.9
22,Augusto Núñez,309.8
23,Patrick Cantlay,309.6
24,Sam Burns,309.4
25,Dean Burmester,309.2
26,Taylor Montgomery,308.8
27,Maverick McNealy,308.4
T28,Rickie Fowler,307.9
T28,Callum Tarren,307.9
30,Luke List,307.8
31,Will Gordon,307.5
32,Scott Harrington,307.3
33,Garrick Higgo,307.2
34,MJ Daffue,307.0
T35,Chris Gotterup,306.9
T35,Lucas Herbert,306.9
T37,Erik Barnes,306.7
T37,Cody Gribble,306.7
T37,Viktor Hovland,306.7
T40,Tyrrell Hatton,306.4
T40,Vincent Norrman,306.4
42,Sam Stevens,306.3
43,Patrick Rodgers,305.9
44,Max Homa,305.7
45,Stewart Cink,305.6
46,Jimmy Walker,305.4
T47,Matt Fitzpatrick,305.1
T47,Justin Thomas,305.1
49,Emiliano Grillo,305.0
50,Webb Simpson,304.8
T51,Brendan Steele,304.6
T51,Trevor Werbylo,304.6
53,Jason Day,304.3
T54,Kevin Chappell,303.9
T54,Tano Goya,303.9
T54,Ryan Palmer,303.9
T54,Jordan Spieth,303.9
58,Adam Schenk,303.7
59,Nick Hardy,303.6
60,Kevin Tway,303.2
61,Brent Grant,303.0
62,Alex Noren,302.7
63,Hayden Buckley,302.6
64,Charley Hoffman,302.0
T65,Alex Smalley,301.9
T65,Travis Vick,301.9
T67,Harry Higgs,301.7
T67,Scottie Scheffler,301.7
69,Jacob Bridgeman,301.6
70,Aaron Wise,301.5
T71,Harry Hall,301.3
T71,Ben Taylor,301.3
T71,Nick Watney,301.3
74,Martin Trainer,301.2
75,Sungjae Im,301.0
76,Patton Kizzire,300.9
77,Michael Gligic,300.8
T78,Ryan Brehm,300.7
T78,Zecheng Dou,300.7
80,Ben Griffin,300.6
81,James Hahn,300.5
T82,Doug Ghim,300.3
T82,S.H. Kim,300.3
T82,Seamus Power,300.3
85,Lee Hodges,299.6
T86,K.H. Lee,299.5
T86,Austin Smotherman,299.5
T88,Kramer Hickok,299.2
T88,Stephan Jaeger,299.2
T88,Michael Kim,299.2
T91,Beau Hossler,298.9
T91,Taylor Moore,298.9
93,Keegan Bradley,298.8
94,Tyson Alexander,298.6
T95,Dylan Frittelli,298.3
T95,Carl Yuan,298.3
97,Kevin Roy,297.4
98,Tommy Fleetwood,297.3
T99,Scott Stallings,297.1
T99,Sahith Theegala,297.1
101,Tyler Duncan,297.0
102,Denny McCarthy,296.3
103,Seung-Yul Noh,296.1
104,Erik van Rooyen,295.9
105,Henrik Norlander,295.8
106,Davis Riley,295.5
T107,Mackenzie Hughes,295.4
T107,Si Woo Kim,295.4
T107,Danny Willett,295.4
T110,Jason Dufner,295.1
T110,Adam Hadwin,295.1
T110,Sebastián Muñoz,295.1
113,Hideki Matsuyama,295.0
114,Chesson Hadley,294.8
115,Austin Eckroat,294.7
116,Tony Finau,294.6
117,J.T. Poston,294.5
T118,Anders Albertson,294.4
T118,Tom Hoge,294.4
T120,Martin Laird,294.3
T120,Ben Martin,294.3
T122,Harris English,293.8
T122,Sam Ryder,293.8
124,Robert Streb,293.7
125,Billy Horschel,293.6
126,Joel Dahmen,293.2
127,Nico Echavarria,292.9
128,J.J. Spaun,292.8
129,Nick Taylor,292.7
130,Matthew NeSmith,292.6
131,Chris Kirk,292.4
T132,Corey Conners,292.3
T132,Dylan Wu,292.3
134,Kevin Streelman,292.2
135,Akshay Bhatia,291.9
T136,Eric Cole,291.8
T136,Greyson Sigg,291.8
138,Brian Harman,291.7
139,Matt Wallace,291.6
140,Philip Knowles,291.5
141,Richy Werenski,291.3
142,Sepp Straka,290.9
143,C.T. Pan,290.7
144,Justin Suh,290.4
145,Tom Kim,289.8
146,Chris Stroud,289.6
147,Scott Piercy,289.5
148,Xander Schauffele,289.4
149,Christiaan Bezuidenhout,289.3
150,Doc Redman,289.2
151,Chad Ramey,289.0
152,Carson Young,288.7
T153,Nate Lashley,288.6
T153,Aaron Rai,288.6
155,Lucas Glover,288.5
T156,Harrison Endycott,288.4
T156,Brandon Wu,288.4
T158,David Lipsky,288.0
T158,Rory Sabbatini,288.0
160,Sung Kang,287.4
T161,Peter Malnati,287.3
T161,Troy Merritt,287.3
163,Mark Hubbard,287.2
164,Collin Morikawa,287.0
T165,Cole Hammer,286.8
T165,Russell Henley,286.8
T165,Adam Long,286.8
T168,Danny Lee,286.5
T168,Cameron Percy,286.5
T170,Kevin Kisner,286.3
T170,Matt Kuchar,286.3
T170,Justin Lower,286.3
T170,Justin Rose,286.3
T170,Robby Shelton,286.3
175,John Huh,285.5
176,Adam Svensson,285.4
177,Scott Brown,285.0
178,Matthias Schwab,284.8
T179,Jim Herman,284.4
T179,Kelly Kraft,284.4
T181,Brice Garnett,283.3
T181,Andrew Landry,283.3
T181,Francesco Molinari,283.3
184,Michael Thompson,283.1
185,Chez Reavie,282.9
T186,Jonathan Byrd,282.7
T186,Hank Lebioda,282.7
188,Brendon Todd,281.9
189,Max McGreevy,281.6
190,Sean O'Hair,281.5
191,Paul Haley II,280.8
192,Aaron Baddeley,280.4
193,Andrew Putnam,280.1
194,Brian Gay,279.9
195,Zach Johnson,279.8
196,Andrew Novak,278.7
197,William McGirt,278.3
198,Camilo Villegas,277.8
199,Ryan Armour,277.5
200,Vaughn Taylor,276.7
201,Ryan Moore,276.5
202,Russell Knox,276.2
203,Austin Cook,276.0
204,David Lingmerth,274.8
205,Zac Blair,273.1
206,Brian Stuard,265.0
