RK,Name,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD,Year
1,James StarksGB,RB,4,81,315,3.9,27,1,1,78.8,0,0,16,2010
2,Rashard MendenhallPIT,RB,3,61,230,3.8,35,1,4,76.7,2,2,12,2010
3,Shonn GreeneNYJ,RB,3,45,198,4.4,23,2,1,66.0,0,0,9,2010
4,Matt ForteCHI,RB,2,42,150,3.6,14,0,0,75.0,0,0,5,2010
5,LaDainian TomlinsonNYJ,RB,3,35,141,4.0,23,1,2,47.0,1,0,7,2010
6,Marshawn LynchSEA,RB,2,23,133,5.8,67,1,1,66.5,0,0,3,2010
7,Ray RiceBAL,RB,2,29,89,3.1,14,0,1,44.5,0,0,3,2010
8,Jamaal CharlesKC,RB,1,9,82,9.1,41,1,1,82.0,1,1,4,2010
9,Ben RoethlisbergerPIT,QB,3,21,63,3.0,18,0,1,21.0,2,0,6,2010
10,Joseph AddaiIND,RB,1,13,60,4.6,14,0,0,60.0,0,0,2,2010
11,Julius JonesNO,RB,1,15,59,3.9,15,0,2,59.0,1,1,5,2010
12,Aaron RodgersGB,QB,4,14,54,3.9,25,1,2,13.5,1,0,6,2010
13,Jay CutlerCHI,QB,2,10,53,5.3,21,1,2,26.5,0,0,5,2010
14,Isaac RedmanPIT,RB,3,7,50,7.1,16,0,0,16.7,0,0,4,2010
15,Willis McGaheeBAL,RB,2,14,48,3.4,25,1,1,24.0,0,0,1,2010
16,Chester TaylorCHI,RB,2,14,46,3.3,11,0,2,23.0,0,0,6,2010
16,Danny WoodheadNE,RB,1,14,46,3.3,8,0,0,46.0,1,0,1,2010
16,LeSean McCoyPHI,RB,1,12,46,3.8,9,0,0,46.0,0,0,1,2010
19,BenJarvus Green-EllisNE,RB,1,9,43,4.8,10,0,0,43.0,0,0,2,2010
20,Michael TurnerATL,RB,1,10,39,3.9,12,0,1,39.0,0,0,1,2010
21,Dominic RhodesIND,RB,1,14,33,2.4,9,0,0,33.0,0,0,3,2010
22,Mike VickPHI,QB,1,8,32,4.0,14,0,1,32.0,0,0,4,2010
23,Justin ForsettSEA,RB,2,8,29,3.6,8,0,0,14.5,0,0,1,2010
24,Brandon JacksonGB,RB,4,6,28,4.7,13,0,0,7.0,0,0,2,2010
25,Joe FlaccoBAL,QB,2,9,25,2.8,13,0,0,12.5,2,1,1,2010
26,Mewelde MoorePIT,RB,3,6,22,3.7,7,0,0,7.3,0,0,3,2010
27,Thomas JonesKC,RB,1,5,15,3.0,10,0,0,15.0,0,0,2,2010
28,Jalen ParmeleBAL,RB,2,4,13,3.3,6,0,0,6.5,0,0,1,2010
28,Golden TateSEA,WR,2,1,13,13.0,13,0,0,6.5,0,0,1,2010
30,Reggie BushNO,RB,1,5,12,2.4,4,0,0,12.0,0,0,1,2010
31,Brad SmithNYJ,WR,2,2,11,5.5,8,0,0,5.5,0,0,0,2010
31,Mark SanchezNYJ,QB,3,5,11,2.2,6,0,0,3.7,1,0,1,2010
31,Brandon TateNE,WR,1,1,11,11.0,11,0,0,11.0,0,0,1,2010
31,Julian EdelmanNE,WR,1,1,11,11.0,11,0,0,11.0,0,0,1,2010
35,Leon WashingtonSEA,RB,2,1,9,9.0,9,0,0,4.5,0,0,0,2010
36,John KuhnGB,FB,4,6,8,1.3,4,0,1,2.0,1,0,2,2010
37,Earl BennettCHI,WR,2,2,7,3.5,9,0,0,3.5,0,0,0,2010
38,Drew BreesNO,QB,1,2,6,3.0,6,0,0,6.0,1,0,1,2010
38,Matt CasselKC,QB,1,3,6,2.0,5,0,0,6.0,0,0,0,2010
40,Dexter McClusterKC,RB,1,2,5,2.5,3,0,0,5.0,0,0,0,2010
41,Gartrell JohnsonATL,RB,1,1,4,4.0,4,0,0,4.0,0,0,0,2010
42,Jerome HarrisonPHI,RB,1,1,3,3.0,3,0,0,3.0,0,0,1,2010
42,Caleb HanieCHI,QB,1,1,3,3.0,3,0,0,3.0,0,0,0,2010
44,Tom BradyNE,QB,1,2,2,1.0,3,0,0,2.0,0,0,1,2010
44,Joe McKnightNYJ,RB,2,1,2,2.0,2,0,0,1.0,0,0,0,2010
46,Donte' StallworthBAL,WR,2,1,1,1.0,1,0,0,0.5,0,0,0,2010
46,Ovie MughelliATL,FB,1,1,1,1.0,1,0,0,1.0,0,0,1,2010
46,Michael RobinsonSEA,FB,2,1,1,1.0,1,0,0,0.5,0,0,0,2010
46,Le'Ron McClainBAL,FB,2,1,1,1.0,1,0,0,0.5,0,0,0,2010
46,Jason SnellingATL,FB,1,1,1,1.0,1,0,0,1.0,0,0,0,2010
1,Arian FosterHOU,RB,2,51,285,5.6,42,3,3,142.5,1,0,12,2011
2,Ahmad BradshawNYG,RB,4,63,272,4.3,30,4,1,68.0,1,0,11,2011
3,Brandon JacobsNYG,RB,4,37,164,4.4,34,1,1,41.0,0,0,9,2011
4,Frank GoreSF,RB,2,29,163,5.6,42,1,0,81.5,1,0,7,2011
5,BenJarvus Green-EllisNE,RB,3,38,140,3.7,17,0,1,46.7,0,0,9,2011
6,Willis McGaheeDEN,RB,2,36,137,3.8,19,0,1,68.5,2,1,7,2011
7,Ray RiceBAL,RB,2,42,127,3.0,12,0,0,63.5,1,0,3,2011
8,Isaac RedmanPIT,RB,1,17,121,7.1,32,2,0,121.0,0,0,7,2011
9,Pierre ThomasNO,RB,2,9,72,8.0,31,1,1,36.0,0,0,3,2011
10,Alex SmithSF,QB,2,7,70,10.0,28,1,1,35.0,0,0,2,2011
10,Aaron HernandezNE,TE,3,8,70,8.8,43,1,0,23.3,0,0,3,2011
10,Chris IvoryNO,RB,2,22,70,3.2,19,0,0,35.0,0,0,5,2011
13,Aaron RodgersGB,QB,1,7,66,9.4,16,0,0,66.0,0,0,6,2011
14,Tim TebowDEN,TE,2,15,63,4.2,14,0,1,31.5,0,0,5,2011
15,Danny WoodheadNE,RB,3,17,61,3.6,11,0,0,20.3,0,0,3,2011
16,Lance BallDEN,RB,2,17,55,3.2,13,0,0,27.5,0,0,1,2011
17,Darren SprolesNO,RB,2,13,54,4.2,17,0,2,27.0,0,0,5,2011
17,Kendall HunterSF,RB,2,10,54,5.4,18,0,0,27.0,1,0,3,2011
19,Ricky WilliamsBAL,RB,2,12,49,4.1,9,0,0,24.5,0,0,3,2011
20,James StarksGB,RB,1,6,43,7.2,29,1,0,43.0,0,0,1,2011
21,Michael TurnerATL,RB,1,15,41,2.7,10,0,0,41.0,0,0,3,2011
22,Ben TateHOU,RB,2,9,37,4.1,9,0,0,18.5,0,0,2,2011
23,Brian LeonardCIN,RB,1,3,34,11.3,19,0,0,34.0,0,0,2,2011
24,Ryan GrantGB,RB,1,8,33,4.1,19,0,0,33.0,0,0,1,2011
25,Joe FlaccoBAL,QB,2,6,26,4.3,14,0,0,13.0,0,0,1,2011
26,Wes WelkerNE,WR,3,2,21,10.5,11,0,0,7.0,0,0,2,2011
26,Kevin SmithDET,RB,1,6,21,3.5,9,0,0,21.0,0,0,0,2011
26,Stevan RidleyNE,RB,1,4,21,5.3,11,0,0,21.0,0,0,1,2011
29,Eli ManningNYG,QB,4,8,20,2.5,14,0,0,5.0,0,0,1,2011
30,Antonio BrownPIT,WR,1,1,18,18.0,18,0,0,18.0,0,0,1,2011
31,Andy DaltonCIN,QB,1,3,17,5.7,15,0,0,17.0,1,0,2,2011
32,Ben RoethlisbergerPIT,QB,1,3,15,5.0,9,0,0,15.0,0,0,0,2011
33,Cedric BensonCIN,RB,1,7,14,2.0,7,0,1,14.0,0,0,1,2011
34,Julio JonesATL,WR,1,1,13,13.0,13,0,0,13.0,0,0,1,2011
35,Bernard ScottCIN,RB,1,6,11,1.8,4,0,0,11.0,0,0,3,2011
36,Tom BradyNE,QB,3,9,10,1.1,4,0,1,3.3,0,0,4,2011
36,D.J. WareNYG,RB,4,4,10,2.5,6,0,0,2.5,0,0,0,2011
36,Jeremiah JohnsonDEN,RB,2,4,10,2.5,6,0,0,5.0,0,0,0,2011
39,Eric DeckerDEN,WR,1,1,9,9.0,9,0,0,9.0,0,0,0,2011
40,Titus YoungDET,WR,1,1,8,8.0,8,0,0,8.0,0,0,0,2011
41,Jason SnellingATL,FB,1,2,7,3.5,6,0,0,7.0,0,0,0,2011
42,Drew BreesNO,QB,2,5,4,0.8,5,0,0,2.0,0,0,1,2011
42,Devery HendersonNO,WR,2,1,4,4.0,4,0,0,2.0,0,0,0,2011
44,Lousaka PoliteNE,FB,3,1,3,3.0,3,0,0,1.0,0,0,1,2011
44,Ted Ginn Jr.SF,WR,1,1,3,3.0,3,0,0,3.0,0,0,0,2011
44,Matt RyanATL,QB,1,3,3,1.0,3,0,0,3.0,0,0,0,2011
44,Boobie DixonSF,RB,2,3,3,1.0,3,0,0,1.5,0,0,0,2011
44,Brandon SaineGB,RB,1,1,3,3.0,3,0,0,3.0,0,0,0,2011
49,Nate BurlesonDET,WR,1,1,2,2.0,2,0,0,2.0,0,0,1,2011
49,John KuhnGB,FB,1,1,2,2.0,2,0,0,2.0,1,1,0,2011
1,Frank GoreSF,RB,3,63,319,5.1,33,3,4,106.3,0,0,15,2012
2,Ray RiceBAL,RB,4,84,306,3.6,32,2,2,76.5,2,2,12,2012
3,Colin KaepernickSF,QB,3,25,264,10.6,56,3,3,88.0,1,0,12,2012
4,Arian FosterHOU,RB,2,54,230,4.3,21,1,2,115.0,0,0,11,2012
5,Bernard PierceBAL,RB,4,39,202,5.2,43,1,0,50.5,0,0,10,2012
6,Marshawn LynchSEA,RB,2,36,178,4.9,27,2,2,89.0,2,2,9,2012
7,Stevan RidleyNE,RB,2,33,152,4.6,23,1,1,76.0,1,1,9,2012
8,Michael TurnerATL,RB,2,22,128,5.8,33,1,0,64.0,0,0,7,2012
9,Russell WilsonSEA,QB,2,15,127,8.5,28,1,1,63.5,1,0,8,2012
10,DuJuan HarrisGB,RB,2,28,100,3.6,18,0,2,50.0,0,0,4,2012
11,Adrian PetersonMIN,RB,1,22,99,4.5,18,0,0,99.0,0,0,7,2012
12,Jacquizz RodgersATL,RB,2,20,96,4.8,45,1,0,48.0,0,0,3,2012
13,Vick BallardIND,RB,1,22,91,4.1,24,1,0,91.0,0,0,2,2012
14,Ronnie HillmanDEN,RB,1,22,83,3.8,11,0,0,83.0,0,0,5,2012
15,Alfred MorrisWSH,RB,1,16,80,5.0,18,0,0,80.0,0,0,3,2012
16,Joe WebbMIN,QB,1,7,68,9.7,17,0,0,68.0,0,0,4,2012
17,LaMike JamesSF,RB,3,11,65,5.9,15,0,1,21.7,1,1,3,2012
18,BenJarvus Green-EllisCIN,RB,1,11,63,5.7,29,1,0,63.0,0,0,4,2012
19,Shane VereenNE,RB,2,11,57,5.2,22,1,1,28.5,0,0,4,2012
20,Aaron RodgersGB,QB,2,5,40,8.0,17,0,0,20.0,1,0,1,2012
20,Robert TurbinSEA,RB,2,12,40,3.3,7,0,0,20.0,0,0,2,2012
22,Andrew LuckIND,QB,1,4,35,8.8,18,0,0,35.0,0,0,3,2012
23,Knowshon MorenoDEN,RB,1,10,32,3.2,8,0,0,32.0,0,0,2,2012
24,Randall CobbGB,WR,2,4,29,7.3,19,0,0,14.5,0,0,1,2012
25,Robert Griffin IIIWSH,QB,1,5,21,4.2,9,0,0,21.0,1,1,2,2012
26,Joe FlaccoBAL,QB,4,8,16,2.0,14,0,0,4.0,1,1,1,2012
26,Keshawn MartinHOU,WR,2,1,16,16.0,16,0,0,8.0,0,0,1,2012
28,Vonta LeachBAL,FB,4,5,15,3.0,5,0,1,3.8,0,0,2,2012
28,Donnie AveryIND,WR,1,1,15,15.0,15,0,0,15.0,0,0,1,2012
28,Andy DaltonCIN,QB,1,4,15,3.8,12,0,0,15.0,0,0,1,2012
31,Jason SnellingATL,FB,2,2,12,6.0,12,0,0,6.0,0,0,1,2012
32,Mewelde MooreIND,RB,1,3,11,3.7,6,0,0,11.0,0,0,0,2012
32,Jacob HesterDEN,RB,1,8,11,1.4,2,0,0,11.0,0,0,2,2012
32,Danny WoodheadNE,RB,2,4,11,2.8,7,0,0,5.5,0,0,1,2012
35,Matt RyanATL,QB,2,3,9,3.0,6,0,0,4.5,1,1,0,2012
36,Justin TuckerBAL,PK,4,1,8,8.0,8,0,0,2.0,0,0,0,2012
37,Ryan GrantGB,RB,2,7,7,1.0,7,0,0,3.5,0,0,0,2012
38,Boobie DixonSF,RB,3,2,6,3.0,4,0,1,2.0,0,0,2,2012
38,Aaron HernandezNE,TE,2,1,6,6.0,6,0,0,3.0,0,0,0,2012
40,Tom BradyNE,QB,2,3,4,1.3,3,0,0,2.0,0,0,0,2012
40,John KuhnGB,FB,2,3,4,1.3,3,0,1,2.0,0,0,1,2012
40,Mike CoxATL,FB,2,1,4,4.0,4,0,0,2.0,0,0,0,2012
43,Darrel YoungWSH,FB,1,1,3,3.0,3,0,0,3.0,0,0,0,2012
44,Matt SchaubHOU,QB,2,5,2,0.4,2,0,0,1.0,0,0,1,2012
44,Michael RobinsonSEA,FB,2,2,2,1.0,3,0,0,1.0,0,0,1,2012
44,Brian LeonardCIN,RB,1,1,2,2.0,2,0,0,2.0,0,0,0,2012
47,Ben TateHOU,RB,1,2,1,0.5,1,0,0,1.0,0,0,0,2012
48,Torrey SmithBAL,WR,4,1,0,0.0,0,0,0,0.0,0,0,0,2012
48,Kirk CousinsWSH,QB,1,1,0,0.0,0,0,0,0.0,1,0,0,2012
50,Peyton ManningDEN,QB,1,1,-1,-1.0,-1,0,0,-1.0,0,0,0,2012
1,Marshawn LynchSEA,RB,3,65,288,4.4,40,2,4,96.0,0,0,14,2013
2,Colin KaepernickSF,QB,3,26,243,9.3,58,4,1,81.0,1,0,11,2013
3,LeGarrette BlountNE,RB,2,29,172,5.9,73,2,4,86.0,0,0,8,2013
4,Frank GoreSF,RB,3,48,164,3.4,39,1,1,54.7,0,0,6,2013
5,Knowshon MorenoDEN,RB,3,42,158,3.8,28,1,1,52.7,1,0,11,2013
6,Mark Ingram IINO,RB,2,28,146,5.2,18,0,1,73.0,1,1,10,2013
7,Donald BrownIND,RB,2,28,118,4.2,16,0,1,59.0,1,0,4,2013
8,Khiry RobinsonNO,RB,2,21,102,4.9,17,0,1,51.0,0,0,5,2013
9,Montee BallDEN,RB,3,28,96,3.4,9,0,0,32.0,0,0,9,2013
10,Danny WoodheadSD,RB,2,24,83,3.5,9,0,1,41.5,0,0,2,2013
11,Eddie LacyGB,RB,1,21,81,3.9,8,0,0,81.0,0,0,6,2013
12,Ryan MathewsSD,RB,2,18,78,4.3,16,0,0,39.0,0,0,3,2013
13,Ronnie BrownSD,RB,2,9,77,8.6,58,1,1,38.5,0,0,2,2013
13,LeSean McCoyPHI,RB,1,21,77,3.7,11,0,1,77.0,0,0,6,2013
15,Stevan RidleyNE,RB,2,19,69,3.6,10,0,2,34.5,0,0,3,2013
16,Knile DavisKC,RB,1,18,67,3.7,13,0,1,67.0,0,0,6,2013
17,Alex SmithKC,QB,1,8,57,7.1,16,0,0,57.0,0,0,4,2013
18,Percy HarvinSEA,WR,2,3,54,18.0,30,1,0,27.0,0,0,2,2013
18,Cam NewtonCAR,QB,1,10,54,5.4,11,0,0,54.0,0,0,4,2013
20,Shane VereenNE,RB,2,9,51,5.7,11,0,0,25.5,0,0,4,2013
21,Andrew LuckIND,QB,2,8,50,6.3,21,1,0,25.0,0,0,3,2013
22,Kendall HunterSF,RB,3,14,47,3.4,17,0,0,15.7,0,0,3,2013
23,Giovani BernardCIN,RB,1,12,45,3.8,12,0,0,45.0,0,0,2,2013
24,BenJarvus Green-EllisCIN,RB,1,8,42,5.3,12,0,0,42.0,0,0,4,2013
24,Russell WilsonSEA,QB,3,11,42,3.8,16,0,0,14.0,1,0,0,2013
26,Robert TurbinSEA,RB,3,14,40,2.9,6,0,0,13.3,0,0,1,2013
27,Darren SprolesNO,RB,2,7,31,4.4,13,0,0,15.5,0,0,2,2013
28,James StarksGB,RB,1,5,29,5.8,10,0,0,29.0,0,0,2,2013
29,Andy DaltonCIN,QB,1,5,26,5.2,12,0,0,26.0,2,1,0,2013
30,Mike TolbertCAR,FB,1,8,20,2.5,5,0,0,20.0,0,0,2,2013
31,Jamaal CharlesKC,RB,1,3,18,6.0,7,0,0,18.0,0,0,1,2013
32,Philip RiversSD,QB,2,5,14,2.8,6,0,0,7.0,0,0,0,2013
33,Drew BreesNO,QB,2,5,13,2.6,5,0,0,6.5,0,0,3,2013
33,DeAngelo WilliamsCAR,RB,1,5,13,2.6,7,0,0,13.0,0,0,0,2013
35,Aaron RodgersGB,QB,1,2,11,5.5,9,0,0,11.0,0,0,1,2013
36,Eddie RoyalSD,WR,2,1,9,9.0,9,0,0,4.5,0,0,0,2013
36,C.J. AndersonDEN,RB,1,2,9,4.5,6,0,0,9.0,0,0,0,2013
38,Tom BradyNE,QB,2,3,6,2.0,5,0,1,3.0,0,0,2,2013
38,Brandon LaFellCAR,WR,1,1,6,6.0,6,0,0,6.0,0,0,1,2013
38,Virgil GreenDEN,TE,3,1,6,6.0,6,0,0,2.0,0,0,0,2013
41,Cyrus GrayKC,RB,1,2,5,2.5,3,0,0,5.0,0,0,0,2013
42,Dexter McClusterKC,RB,1,1,3,3.0,3,0,0,3.0,0,0,0,2013
42,Nick FolesPHI,QB,1,1,3,3.0,3,0,0,3.0,0,0,0,2013
44,John KuhnGB,FB,1,2,2,1.0,1,0,1,2.0,1,0,1,2013
45,Boobie DixonSF,RB,3,2,1,0.5,1,0,1,0.3,0,0,1,2013
45,Randall CobbGB,WR,1,1,1,1.0,1,0,0,1.0,0,0,0,2013
45,Trent RichardsonIND,RB,2,4,1,0.3,2,0,0,0.5,1,1,0,2013
45,Kenny StillsNO,WR,2,1,1,1.0,1,0,0,0.5,0,0,0,2013
49,Le'Ron McClainSD,FB,2,1,0,0.0,0,0,0,0.0,0,0,0,2013
49,James DevelinNE,FB,2,1,0,0.0,0,0,0,0.0,0,0,0,2013
1,Marshawn LynchSEA,RB,3,63,318,5.0,25,2,2,106.0,1,0,15,2014
2,DeMarco MurrayDAL,RB,2,44,198,4.5,30,2,2,99.0,1,1,12,2014
3,Jonathan StewartCAR,RB,2,37,193,5.2,35,1,1,96.5,0,0,8,2014
4,LeGarrette BlountNE,RB,3,47,189,4.0,22,1,3,63.0,0,0,12,2014
5,Eddie LacyGB,RB,2,40,174,4.3,29,1,0,87.0,0,0,8,2014
6,Daniel HerronIND,RB,3,45,170,3.8,27,1,2,56.7,1,0,10,2014
7,Justin ForsettBAL,RB,2,40,169,4.2,19,0,0,84.5,1,1,13,2014
8,Russell WilsonSEA,QB,3,17,86,5.1,17,0,1,28.7,2,0,6,2014
9,C.J. AndersonDEN,RB,1,18,80,4.4,22,1,0,80.0,0,0,5,2014
10,Cam NewtonCAR,QB,2,18,72,4.0,13,0,0,36.0,2,1,5,2014
11,Zurlon TiptonIND,RB,3,18,68,3.8,11,0,1,22.7,0,0,5,2014
12,James StarksGB,RB,2,10,60,6.0,32,1,0,30.0,0,0,2,2014
